Customer_ID,Customer_Name,Birth_Date,Marital_Status,annual_income,Total_Children,Education_Level,Occupation,Home_Owner
BB181,Pintu Thakur,1955-04-05,M,"34,27,658",2,High School,Skilled Manual,Y
BB182,Mohd Khairul,1955-06-26,S,"7,16,573",0,High School,Skilled Manual,Y
BB183,Farmaan Khan,1955-02-06,S,"16,93,953",0,High School,Skilled Manual,N
BB184,Vansu Dev,1956-08-14,S,"5,34,246",0,High School,Skilled Manual,Y
BB185,Shyam Kumar,1956-08-28,S,"14,73,806",0,High School,Skilled Manual,Y
BB186,Lalit Kathuriya,1957-11-16,S,"7,02,972",0,High School,Professional,Y
BB187,Pooran Chand,1957-07-13,S,"33,64,680",0,High School,Professional,Y
BB188,Aamir Hussain,1957-09-19,S,"19,02,816",0,High School,Professional,N
BB189,Kamal Jit Singh,1974-01-10,S,"25,83,412",0,High School,Professional,N
BB190,Shiv Kumar,1959-03-11,S,"6,46,962",0,Graduate Degree,Management,Y
BB191,Mayank Chaudhary Rahul,1959-07-17,M,"32,94,816",0,Graduate Degree,Management,Y
BB192,Som Dutt,1966-07-24,M,"26,81,492",2,Bachelors,Management,Y
BB193,Bablu Regar,1966-08-04,S,"32,72,882",0,Graduate Degree,Management,N
BB194,Sarbjeet Ronak,1966-03-15,M,"29,52,468",0,Graduate Degree,Management,Y
BB195,Harsh Dagar,1957-09-12,S,"4,74,281",0,Partial High School,Skilled Manual,N
BB196,Anil Kumar,1957-07-19,S,"31,21,201",0,High School,Professional,N
BB197,Vijay Virmani,1957-12-23,M,"18,76,905",2,Partial College,Professional,Y
BB198,Vivek Auhari,1957-10-03,M,"8,58,675",3,Partial College,Professional,N
BB199,Subhash Chand Bhatia,1957-02-05,S,"32,90,740",0,Bachelors,Management,Y
BB200,Raghunandan Das,1957-12-17,S,"20,12,318",0,Partial College,Professional,Y
BB201,Ajay Kumar,1957-04-04,M,"6,69,122",2,Partial College,Professional,Y
BB202,Arun Vicky,1967-05-06,M,"32,66,570",2,Bachelors,Professional,Y
BB203,Mohan Kumar,1967-09-10,M,"25,77,364",0,Graduate Degree,Management,Y
BB204,Sandeep Meghawal,1962-04-01,S,"19,97,448",0,Partial College,Skilled Manual,N
BB205,Sandeep Kumar,1962-09-01,S,"33,99,966",0,Partial College,Skilled Manual,Y
BB206,Vishal Moni,1962-08-10,M,"13,22,325",1,Bachelors,Professional,Y
BB207,Mohd Shahid,1961-10-27,M,"26,07,812",1,Partial College,Skilled Manual,Y
BB208,Nanku Prasad,1961-05-01,S,"27,08,303",0,Partial College,Skilled Manual,N
BB209,Bhola Sarkar,1961-03-08,M,"12,88,688",1,Bachelors,Professional,Y
BB210,Ravindra Kumar,1960-09-15,S,"23,87,388",0,Partial College,Skilled Manual,Y
BB211,Rohit Kumar,1965-05-08,S,"29,36,233",0,Bachelors,Professional,N
BB212,Uttam Kumar Sanki,1965-04-21,S,"21,83,677",0,Bachelors,Professional,Y
BB213,Babalu Sen,1964-10-17,S,"11,19,386",0,Bachelors,Professional,Y
BB214,Rustam Shah,1964-03-11,M,"12,31,675",0,Bachelors,Professional,N
BB215,B Vikjay Kumar,1964-12-28,S,"23,17,453",0,Bachelors,Professional,N
BB216,Gopal Sharma,1964-09-11,S,"12,44,706",0,Bachelors,Professional,N
BB217,Manish Garg,1959-09-09,M,"25,36,863",1,Bachelors,Professional,Y
BB218,Jatin Sonu,1963-07-14,S,"2,88,246",0,Bachelors,Professional,N
BB219,Amit Kumar,1963-11-05,S,"32,37,933",0,Bachelors,Professional,N
BB220,Phoolwati Phoolo Devi,1962-06-06,M,"10,80,224",1,Partial College,Skilled Manual,Y
BB221,Mohit Maan,1962-02-23,M,"21,56,671",1,Partial College,Skilled Manual,Y
BB222,Veer Bhan Singh,1962-09-09,M,"26,47,384",1,Partial College,Skilled Manual,Y
BB223,Dinesh Kumar,1962-02-21,M,"10,91,321",5,Bachelors,Professional,Y
BB224,Esrail Khan,1962-05-28,S,"17,66,264",0,Partial College,Skilled Manual,Y
BB225,Suresh Kumar,1962-02-12,M,"10,51,010",5,Partial College,Skilled Manual,Y
BB226,Pankaj Chand,1962-10-07,M,"13,79,043",5,Partial College,Skilled Manual,Y
BB227,Ajay Narayan,1961-02-21,M,"29,26,111",5,Partial College,Skilled Manual,Y
BB228,Mohit Himanshu,1957-07-03,S,"26,21,466",0,Partial College,Skilled Manual,N
BB229,Nikhleshwar Bhagat,1935-04-10,S,"16,88,224",0,Partial College,Clerical,N
BB230,Jai Singh,1960-11-18,M,"23,45,627",5,Partial College,Skilled Manual,Y
BB231,Sunil Kumar,1960-04-02,M,"8,65,298",5,Partial College,Skilled Manual,Y
BB232,Ram Kishan,1960-06-20,M,"34,86,803",5,Partial College,Skilled Manual,Y
BB233,Pritam Singh,1957-07-27,S,"5,50,600",0,Partial College,Skilled Manual,Y
BB234,Mohd Kausar,1956-04-08,S,"34,93,902",0,Partial College,Skilled Manual,Y
BB235,Harman Singh,1949-04-07,M,"10,44,727",2,High School,Skilled Manual,N
BB236,Vinod Lal,1975-10-21,M,"25,99,325",0,High School,Skilled Manual,Y
BB237,Chander Shaker,1975-12-05,M,"34,52,917",0,High School,Skilled Manual,Y
BB238,Ram Ji,1975-08-05,S,"10,48,109",0,High School,Skilled Manual,Y
BB239,Mohammad Ali,1980-01-06,M,"3,02,391",0,High School,Skilled Manual,Y
BB240,Ravinder Bacchi,1980-03-12,M,"25,94,581",0,High School,Skilled Manual,N
BB241,Guman Singh Basyal,1980-10-26,S,"26,25,349",0,High School,Skilled Manual,N
BB242,Raja Kumar,1980-09-08,S,"28,35,673",0,Partial High School,Clerical,N
BB243,Mahabir Prasad,1946-02-26,S,"23,12,095",0,High School,Skilled Manual,Y
BB244,Kartik Kaku,1979-11-03,S,"5,43,879",0,Partial High School,Clerical,N
BB245,Shubham Yadav,1978-10-26,S,"9,68,624",0,High School,Skilled Manual,N
BB246,Pawan Kumar,1978-07-20,M,"7,63,266",0,High School,Skilled Manual,Y
BB247,Pintu Kumar,1978-09-15,M,"5,66,433",0,High School,Skilled Manual,N
BB248,Rishi Kakdia,1938-11-09,S,"30,18,104",0,Partial College,Clerical,N
BB249,Kunal Kannu,1977-02-11,S,"10,13,630",0,Partial High School,Clerical,N
BB250,Arman Ansari,1977-06-21,M,"29,60,892",0,High School,Skilled Manual,N
BB251,Sujen Manjhi,1977-08-14,S,"11,30,248",0,High School,Skilled Manual,N
BB252,Aditya Som,1977-02-04,M,"32,67,082",0,High School,Skilled Manual,Y
BB253,Ravi Kumar,1979-09-09,S,"13,01,838",0,High School,Skilled Manual,N
BB254,Shankar Kumar,1979-12-08,S,"19,78,018",0,High School,Skilled Manual,N
BB255,Nandkishore Karpenter,1939-08-26,S,"3,64,556",0,Bachelors,Management,Y
BB256,Lala Bhai,1939-02-05,M,"23,14,062",2,Graduate Degree,Management,Y
BB257,Kishan Rai,1941-08-16,M,"15,09,562",2,Bachelors,Management,Y
BB258,Mahender Kumar,1941-04-20,M,"13,19,599",2,Bachelors,Management,Y
BB259,Mohd Afzal,1941-03-15,S,"8,77,351",0,Bachelors,Management,Y
BB260,Shiv Prasad Singh,1942-02-25,S,"34,90,345",0,Graduate Degree,Management,N
BB261,Khokan Sarkar,1976-01-10,S,"8,79,044",0,High School,Skilled Manual,Y
BB262,Krisana Braman,1976-06-23,M,"28,51,911",0,High School,Skilled Manual,Y
BB263,Mohd Miraj Ansari,1976-08-21,S,"6,12,720",0,Partial College,Skilled Manual,Y
BB264,Harbir Singh,1976-01-26,S,"21,54,212",0,Partial College,Skilled Manual,N
BB265,Yuvraj Kumar,1976-02-07,S,"13,03,904",0,Partial College,Skilled Manual,N
BB266,Charan Jeet Singh,1975-06-11,M,"2,89,458",0,High School,Skilled Manual,Y
BB267,Satish Kumar,1975-10-08,S,"14,21,709",0,High School,Skilled Manual,Y
BB268,Vivek Sharma,1975-09-17,S,"9,93,871",0,High School,Skilled Manual,N
BB269,Sahil Tigga,1974-01-08,S,"21,13,736",0,Partial College,Skilled Manual,N
BB270,Girishi Chand,1974-04-22,S,"29,85,984",0,Partial College,Skilled Manual,N
BB271,Pavan Sharma,1974-03-05,S,"18,92,138",0,Partial College,Skilled Manual,Y
BB272,Naval Kishore,1974-12-20,M,"32,31,813",0,Partial College,Skilled Manual,Y
BB273,Raman Ralhan,1974-05-05,S,"27,45,533",0,Partial College,Skilled Manual,N
BB274,Prem Chand,1973-07-18,M,"18,47,730",0,Partial College,Skilled Manual,N
BB275,Jang Bahadur,1972-04-24,S,"23,36,318",0,Partial College,Skilled Manual,N
BB276,Om Parkash Ahuja,1972-08-01,S,"28,77,950",0,Bachelors,Management,N
BB277,Kamre Alam,1968-05-15,S,"10,57,989",0,Bachelors,Management,N
BB278,Ram Pyare,1968-06-22,M,"33,08,523",4,Bachelors,Management,Y
BB279,Suraj Singh,1968-02-05,M,"6,32,142",4,Bachelors,Management,Y
BB280,Vikas Gupta,1967-10-09,S,"30,70,436",0,Bachelors,Management,Y
BB281,Vijay Singh,1967-11-21,M,"19,02,290",1,Bachelors,Management,Y
BB282,Hari Ram,1967-09-01,S,"10,00,689",0,Graduate Degree,Management,N
BB283,Manoj Kumar,1967-07-13,M,"25,97,334",0,Graduate Degree,Management,Y
BB284,Parash Das,1963-03-05,S,"21,83,645",0,Partial College,Skilled Manual,Y
BB285,Bhanwar Lal,1968-01-25,M,"16,77,793",4,Bachelors,Management,Y
BB286,Ramkaran Verma,1942-07-04,M,"14,97,457",2,Graduate Degree,Management,Y
BB287,Mukhtyar Hussain,1943-08-24,M,"21,84,965",2,Graduate Degree,Management,Y
BB288,Bilal Malik,1943-06-14,M,"28,57,366",2,Graduate Degree,Management,Y
BB289,Radheshyam Sen,1943-01-02,M,"26,53,731",1,Bachelors,Management,Y
BB290,Jitender Rajak,1943-08-08,M,"27,27,990",2,Graduate Degree,Management,Y
BB291,Raju Singh,1944-08-25,S,"5,66,527",0,Bachelors,Management,Y
BB292,Sobit Saini,1944-07-15,S,"33,22,435",0,Bachelors,Management,Y
BB293,Inder Dutt,1944-11-16,S,"14,38,116",0,Bachelors,Management,Y
BB294,Haseen Ahmed,1944-10-08,S,"33,27,011",0,Bachelors,Management,Y
BB295,Gulam Rashul,1944-05-21,S,"29,12,640",0,Bachelors,Management,Y
BB296,Amit Kumar Yadav,1944-02-22,M,"7,26,051",4,Graduate Degree,Management,Y
BB297,Rajiv Bagoriya,1944-09-06,M,"29,41,718",4,Graduate Degree,Management,N
BB298,Abhinav Chaudhary,1944-06-22,M,"24,85,660",5,Bachelors,Management,Y
BB299,Sanjay Kumar Pappu,1945-12-18,S,"34,17,880",0,Bachelors,Management,Y
BB300,Mushir Ahmed,1945-09-13,M,"23,17,588",4,Bachelors,Management,Y
BB301,Vibhuti Shyamal,1945-02-13,M,"34,52,392",4,Bachelors,Management,Y
BB302,Neeraj Kandari,1945-06-10,M,"7,62,593",4,Bachelors,Management,Y
BB303,Mukul Verma,1946-02-10,M,"11,09,729",5,Bachelors,Management,Y
BB304,Jai Kishan,1946-06-07,M,"4,58,521",5,Bachelors,Management,Y
BB305,Munna Lal Jain,1946-06-18,M,"8,97,537",3,Bachelors,Management,N
BB306,Jai Prakash Kashyap,1946-11-26,S,"33,19,258",0,Bachelors,Management,Y
BB307,Parveen Aggarwal,1946-11-06,M,"2,56,403",4,Bachelors,Management,Y
BB308,Pramod Paswan,1947-11-22,M,"4,02,964",4,Bachelors,Management,Y
BB309,Aaftaab Husan,1947-08-18,M,"23,14,904",4,Bachelors,Management,Y
BB310,Sawan Gupta,1947-08-26,M,"2,77,078",5,Bachelors,Management,N
BB311,Munna Lal,1948-08-21,M,"27,52,802",2,High School,Professional,Y
BB312,Sarvesh Kumar Pandey,1948-07-24,M,"12,59,335",2,High School,Professional,Y
BB313,Sohnal Kumar Singh,1948-09-24,M,"25,08,214",2,Partial College,Professional,Y
BB314,Najar Hussan,1948-07-19,S,"28,37,711",0,Partial College,Professional,Y
BB315,Raman Rancho,1948-02-04,M,"25,03,046",2,Bachelors,Management,Y
BB316,Lavtar Singh,1948-01-13,M,"24,28,372",2,Bachelors,Management,Y
BB317,Nanak Chand,1948-06-08,M,"6,61,360",4,Partial College,Professional,Y
BB318,Harprasad Sahu,1949-10-12,M,"9,11,159",2,High School,Professional,Y
BB319,Vikas Kumar,1949-11-05,M,"4,12,879",2,High School,Professional,Y
BB320,Ashsish Kumar,1949-05-14,S,"24,21,462",0,Partial College,Professional,Y
BB321,Rajesh Singh,1949-11-07,S,"4,58,661",0,Partial College,Professional,Y
BB322,Jalil Ansari,1950-06-21,M,"28,54,014",2,Partial High School,Skilled Manual,Y
BB323,Deepak Verma,1950-05-20,S,"13,95,554",0,Partial College,Professional,Y
BB324,Monu Kumar,1950-02-11,S,"27,42,694",0,Partial College,Professional,Y
BB325,Manish Kumar Saket,1950-09-11,S,"33,10,934",0,Partial College,Professional,N
BB326,Narayan Gadri,1950-12-02,M,"28,51,317",2,High School,Professional,Y
BB327,Lakshman Nath,1950-02-23,M,"23,72,149",2,Partial College,Professional,Y
BB328,Sachin Kumar,1950-06-10,M,"4,02,890",4,Partial College,Professional,Y
BB329,Munna Ravi Jaiswal,1950-08-17,M,"24,79,935",3,Bachelors,Management,Y
BB330,Harish Chand,1951-09-16,S,"16,15,135",0,High School,Professional,Y
BB331,Puneet Jain,1951-09-06,S,"18,11,493",0,High School,Professional,Y
BB332,Amit Kumar Shukla,1951-09-27,M,"19,27,257",2,Partial College,Professional,Y
BB333,Praful Naag,1951-08-12,S,"4,72,772",0,Partial College,Professional,Y
BB334,Tarachand Pappu,1951-04-19,M,"18,24,808",2,Partial College,Professional,Y
BB335,Deepak Rana,1951-12-03,S,"25,50,718",0,Partial College,Professional,Y
BB336,Puran Singh Rastogi,1951-04-03,M,"5,28,258",4,Partial College,Professional,N
BB337,Lal Babu Prasad,1952-11-14,M,"10,67,330",2,High School,Professional,Y
BB338,Lal Chand,1952-09-27,M,"30,80,754",3,High School,Professional,N
BB339,Kiran Pal,1952-09-09,M,"9,38,320",4,Partial College,Professional,Y
BB340,Ranveer Singh,1952-11-19,S,"33,32,952",0,Partial College,Professional,Y
BB341,Raj Kumar Raju,1952-02-08,M,"6,92,269",4,Partial College,Professional,Y
BB342,Laxmikant Kaka,1952-03-05,S,"11,28,587",0,Partial College,Professional,Y
BB343,Narayan Parsad Bhushal,1958-09-23,S,"13,37,808",0,Bachelors,Management,N
BB344,Hukum Chand,1958-08-10,S,"22,23,644",0,Bachelors,Management,N
BB345,Pappu Mahender Singh,1958-10-06,M,"30,23,758",2,Partial College,Professional,N
BB346,Akash Tomer,1958-12-11,M,"14,25,627",2,Partial College,Professional,Y
BB347,Mahesh Chand Tiwari,1957-10-11,S,"27,97,499",0,Partial College,Professional,Y
BB348,Gajender Kumar,1957-11-11,M,"23,31,315",2,Partial College,Professional,Y
BB349,Bhanwar Singh,1957-10-09,M,"2,57,530",2,Partial College,Professional,Y
BB350,Surender Sain,1957-11-26,S,"25,77,842",0,Bachelors,Management,N
BB351,Akshay Kumar,1956-10-27,M,"26,06,757",3,High School,Professional,N
BB352,Satyender Kalu,1956-06-06,S,"20,62,242",0,Partial College,Professional,N
BB353,Ankush Shera,1955-03-26,M,"34,40,303",3,Partial College,Professional,Y
BB354,Bhavesh Dass,1955-07-13,M,"32,59,452",3,Partial College,Professional,Y
BB355,Guddu Rai,1955-03-12,M,"9,72,925",3,High School,Professional,Y
BB356,Yogesh Rawat,1932-07-04,S,"13,40,383",0,High School,Professional,N
BB357,Rajesh Agarwal,1932-06-07,S,"30,58,696",0,Graduate Degree,Management,Y
BB358,Tara Singh Rawat,1933-02-28,M,"23,15,330",2,Graduate Degree,Management,Y
BB359,Parnav Kumar,1933-03-03,M,"18,01,545",4,Graduate Degree,Management,Y
BB360,Ajay Haldar,1933-04-04,M,"30,13,907",4,Graduate Degree,Management,Y
BB361,Gaurav Sethi,1933-09-20,M,"3,34,595",4,Graduate Degree,Management,Y
BB362,Parth Madan,1933-01-06,S,"23,73,975",0,Graduate Degree,Management,Y
BB363,Pawan Kumar Sonu,1933-06-28,M,"14,86,488",1,Graduate Degree,Management,Y
BB364,Raju Garg,1965-03-27,M,"21,55,183",4,Partial College,Professional,Y
BB365,Samir Mishra,1965-04-12,M,"24,19,821",2,Bachelors,Management,Y
BB366,Ram Dayal,1965-04-24,M,"30,43,242",1,Graduate Degree,Management,Y
BB367,Jagdish Chand,1964-05-04,M,"11,37,912",4,Bachelors,Management,Y
BB368,Pardeep Kumar,1964-09-11,M,"12,84,589",5,Partial College,Professional,Y
BB369,Deepak Goyal,1964-06-17,S,"8,27,113",0,Partial College,Professional,N
BB370,Sunil Ladkani,1964-07-13,M,"27,48,111",5,Partial College,Professional,Y
BB371,Indra Sain,1964-05-05,S,"5,75,223",0,Partial College,Professional,N
BB372,Arun Kumar,1964-10-02,S,"23,44,104",0,Partial College,Professional,Y
BB373,Ashok Sharma,1964-05-03,M,"4,18,783",2,Graduate Degree,Management,Y
BB374,Veer Singh,1964-10-13,M,"24,26,797",2,Graduate Degree,Management,Y
BB375,Aman Dahiya,1964-05-04,M,"32,49,047",2,Graduate Degree,Management,Y
BB376,Laxmi Narayan,1964-06-05,S,"34,63,453",0,Bachelors,Management,N
BB377,Vikram Dubey,1956-11-10,S,"21,57,990",0,Partial College,Professional,Y
BB378,Ramjan Khan,1956-10-01,M,"2,98,943",2,Partial College,Professional,Y
BB379,Alok Tiwari,1934-04-12,M,"11,15,834",2,Graduate Degree,Management,Y
BB380,Vude Bhadur,1934-01-18,M,"33,65,391",4,Graduate Degree,Management,Y
BB381,Prem Singh Bidla,1963-09-19,M,"3,22,236",4,Partial College,Professional,Y
BB382,Chetanya Swaroop,1963-06-10,M,"3,35,147",4,Partial College,Professional,Y
BB383,Pinkoo Guddu,1963-08-20,S,"3,24,455",0,Partial College,Professional,N
BB384,Henkhochon Haokip,1963-09-12,M,"24,83,738",0,Partial College,Professional,Y
BB385,Gaurav Shankar,1963-08-21,M,"12,72,224",0,Partial College,Professional,Y
BB386,Shsi Kant,1963-10-10,S,"16,08,076",0,Bachelors,Management,Y
BB387,Brij Raj,1962-01-16,M,"10,09,392",5,Partial College,Professional,Y
BB388,Aman Kumar,1962-10-26,M,"30,57,352",1,Bachelors,Management,Y
BB389,Vijay Kumar,1962-03-27,M,"4,73,247",1,Bachelors,Management,Y
BB390,Baban Suresh,1962-03-19,M,"7,08,674",1,Partial College,Professional,N
BB391,Subham Kumar Yadav,1962-03-03,M,"25,21,309",0,Graduate Degree,Management,Y
BB392,Ram Niwas,1961-01-16,M,"26,60,265",5,Partial College,Professional,N
BB393,Nanhu Khan,1961-09-16,M,"26,21,642",1,Bachelors,Management,Y
BB394,Raja Ram,1961-03-07,M,"3,53,725",1,Bachelors,Management,Y
BB395,Jag Mohan,1961-08-18,M,"14,24,719",1,Bachelors,Management,Y
BB396,Ritu Raj Kumar,1961-05-05,M,"21,38,064",1,Bachelors,Management,Y
BB397,Raj Kapoor,1961-11-05,S,"7,53,273",0,Partial College,Professional,N
BB398,Arvind Agarwal Pinto,1955-05-27,S,"14,17,723",0,High School,Professional,N
BB399,Rajbir Ahlawat,1955-09-03,M,"19,73,164",2,High School,Professional,N
BB400,Mohd Faijan,1954-05-16,S,"16,76,676",0,Partial High School,Skilled Manual,Y
BB401,Bhag Chand,1935-10-07,S,"20,69,398",0,Graduate Degree,Management,Y
BB402,Chander Shekhar,1935-02-02,S,"29,52,033",0,Graduate Degree,Management,Y
BB403,Pramjot Singh,1935-03-03,M,"23,77,010",4,Graduate Degree,Management,Y
BB404,Abhinav Vashit,1936-04-01,M,"8,93,589",4,Graduate Degree,Management,Y
BB405,Vivek Chabra,1960-03-03,M,"26,48,717",5,Partial College,Professional,N
BB406,Nootan Prakash Yadav,1960-06-09,M,"3,69,497",5,Partial College,Professional,Y
BB407,Abdul Kadir,1960-12-12,S,"16,78,249",0,High School,Professional,N
BB408,Rajender Kaku,1960-10-11,S,"22,78,960",0,High School,Professional,N
BB409,Ram Ldaike,1960-03-17,M,"7,60,617",0,Partial College,Professional,Y
BB410,Sone Lal Shah,1960-06-19,M,"20,94,243",3,Partial College,Professional,N
BB411,Chhotu Harijan,1960-06-22,M,"20,20,782",3,Partial College,Professional,N
BB412,Om Prakash,1954-11-04,M,"4,33,873",2,Partial High School,Skilled Manual,Y
BB413,Manish Kumar,1954-03-05,M,"30,42,712",2,High School,Professional,N
BB414,Mukesh Kumar Yogi,1954-06-12,S,"24,68,815",0,High School,Professional,Y
BB415,Gautam Kumar,1953-07-09,S,"34,91,714",0,Graduate Degree,Management,Y
BB416,Hardeep Hunny,1953-08-24,S,"21,65,881",0,Graduate Degree,Management,N
BB417,Pankaj Saini,1953-04-03,S,"11,48,559",0,Graduate Degree,Management,Y
BB418,Manish Sehrawat,1953-02-27,S,"30,32,941",0,Graduate Degree,Management,Y
BB419,Ravi Chandra Natarajan,1953-10-01,S,"31,33,931",0,Graduate Degree,Management,N
BB420,Karunakar Dehra,1953-11-17,M,"19,74,726",3,Graduate Degree,Management,Y
BB421,Rajeev Jha,1952-09-17,S,"17,94,893",0,Partial College,Professional,N
BB422,Mukesh Soni,1952-10-26,S,"33,11,582",0,Partial College,Professional,N
BB423,Ashok Kharkwal,1937-04-27,M,"33,66,834",4,Graduate Degree,Management,N
BB424,Iswar Sharan,1937-06-26,M,"29,27,120",4,Graduate Degree,Management,Y
